[2021-07-10 16:51:26,795][MainThread:14224][task_id:interface_case][test_renovation.py:202][INFO][>>>>获取人员信息]
[2021-07-10 16:51:26,796][MainThread:14224][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:30,410][MainThread:14224][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/user/users HTTP/1.1" 200 None]
[2021-07-10 16:51:30,670][MainThread:14224][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:30,670][MainThread:14224][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:30,677][MainThread:14224][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:30,678][MainThread:14224][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:30,685][MainThread:14224][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:30,685][MainThread:14224][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:30,692][MainThread:14224][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:30,693][MainThread:14224][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:30,700][MainThread:14224][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:30,701][MainThread:14224][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:30,717][MainThread:14224][task_id:interface_case][test_renovation.py:35][INFO][------------------专项整治相关接口测试结束----------------------]
[2021-07-10 16:51:50,228][MainThread:1772][task_id:interface_case][test_renovation.py:19][INFO][------------------专项整治相关接口测试开始----------------------]
[2021-07-10 16:51:50,231][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:50,329][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /uums/auth/token HTTP/1.1" 200 None]
[2021-07-10 16:51:50,331][MainThread:1772][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:50,333][MainThread:1772][task_id:interface_case][test_renovation.py:202][INFO][>>>>获取人员信息]
[2021-07-10 16:51:50,335][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:53,822][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/user/users HTTP/1.1" 200 None]
[2021-07-10 16:51:54,094][MainThread:1772][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:54,095][MainThread:1772][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:54,096][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:54,218][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:51:54,220][MainThread:1772][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:51:54,221][MainThread:1772][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:51:54,223][MainThread:1772][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:51:54,224][MainThread:1772][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:51:54,239][MainThread:1772][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:51:54,239][MainThread:1772][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:51:54,241][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:51:54,320][MainThread:1772][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:51:54,323][MainThread:1772][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:51:54,324][MainThread:1772][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:51:54,325][MainThread:1772][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:51:54,326][MainThread:1772][task_id:interface_case][common_method.py:132][DEBUG][]
